decade,ctr2,im3y20,mean,sd,V1
700,de_north,9.90488413766369e-4,1.1544154006600954e-6,9.8135095591461e-6,1
700,de_south,6.411762378777803e-4,4.738922674632413e-7,1.5002011204178806e-6,1
700,it_north,0.09998232655319247,5.365873802028317e-6,1.2337412315832365e-5,22
700,it_south,0.02701673857007682,5.55671299261148e-6,1.1588565092113681e-5,5
720,be,0.0029726786680037798,2.9520145660415054e-6,1.0511128711726036e-5,5
720,ch,0.0011439006119983032,1.1829375511874887e-6,2.090346874438539e-6,4
720,de_north,7.499344434264852e-4,5.681321541109716e-7,2.9964100496661878e-6,1
720,de_south,7.919343300440079e-4,4.3512875277144064e-7,2.282192889720096e-6,1
720,fr_north,0.010658894856627112,1.0729710948890129e-6,3.7438913970916213e-6,57
720,fr_south,0.006919108569183144,8.117208551364495e-7,1.7626498530041803e-6,45
720,it_north,0.11566995176866955,5.907254571710707e-6,1.7027024089776545e-5,30
720,it_south,0.026573051342816473,5.194106986477071e-6,1.1784217985597195e-5,10
720,nl,2.6625982342436615e-4,1.1140578385956747e-6,3.2145768675602576e-7,2
720,uk_north,5.939026177189903e-4,6.110109235792094e-7,1.1004638978835368e-6,7
720,uk_south,0.001536499434998864,8.88663640832187e-7,1.6531082912196301e-6,11
740,be,0.007763395505755888,6.5348447018147414e-6,2.856228329601558e-5,5
740,ch,0.0040352858004958575,3.502852257374846e-6,1.1785604669389662e-5,5
740,de_north,0.0034658216252647644,1.9053444888755756e-6,5.84794380686505e-6,2
740,de_south,0.005504989291752636,2.1715934089753782e-6,1.0733937026138148e-5,2
740,fr_north,0.029309364565544685,2.22935761508674e-6,8.30474651058812e-6,61
740,fr_south,0.010007724229368563,8.955457923372109e-7,1.9861177118512066e-6,45
740,it_north,0.15795702396291011,7.762015919553192e-6,2.93494637046342e-5,32
740,it_south,0.034105892143929575,6.268313204177406e-6,3.9570268585348104e-5,10
740,nl,3.9621338570989514e-4,1.2990602810160496e-6,5.312284982346158e-7,2
740,uk_north,0.0019406352183528033,1.489359338720473e-6,8.878435773932574e-6,7
740,uk_south,0.001987947618421831,9.763986338024573e-7,1.806093233984452e-6,11
760,be,0.00765986197116147,5.8161442453769716e-6,1.438165352635567e-5,5
760,ch,0.005409969552335429,3.809837712912236e-6,9.424135585156446e-6,6
760,de_north,0.006404707787571013,2.5856712909047323e-6,5.9645729422456674e-6,5
760,de_south,0.020002429563293334,5.41191276063135e-6,1.2750807226128897e-5,10
760,fr_north,0.03459890109294391,2.3225415246656337e-6,8.942089695680515e-6,61
760,fr_south,0.01478824170441772,1.1737631323452396e-6,3.258073113518213e-6,47
760,it_north,0.12360544900400042,5.975319008218141e-6,1.9084933190630702e-5,31
760,it_south,0.039553324793413745,7.051760526548993e-6,1.552750764153139e-5,11
760,nl,5.52082653170938e-4,1.5507939695812858e-6,8.092967985153153e-7,2
760,uk_north,0.014696075346904276,9.68759086809777e-6,2.663782058981409e-5,8
760,uk_south,0.0030009607691907384,1.3220091494232203e-6,5.466382952510919e-6,11
780,be,0.006666468401583669,4.270639591020927e-6,1.0138069461710513e-5,5
780,ch,0.002854030604185009,1.9375632071860194e-6,4.514924890421962e-6,4
780,de_north,0.014957703749350992,4.6992471722748675e-6,1.1625835972757479e-5,5
780,de_south,0.01602690475320265,3.7116500123211317e-6,9.649210532610575e-6,6
780,fr_north,0.0305278417024929,1.9482954689190965e-6,7.471764414874634e-6,58
780,fr_south,0.03662558138691148,2.7616936651267665e-6,1.9014480774142368e-5,49
780,it_north,0.14923670107159467,6.96066702759284e-6,1.902458584636823e-5,31
780,it_south,0.05018214600216326,8.830221010410446e-6,2.0083872721090118e-5,11
780,nl,5.930944979088329e-4,1.6474847164134249e-6,8.915876490162878e-7,2
780,uk_north,0.009329589274476973,5.812828208396855e-6,1.7519221057408726e-5,8
780,uk_south,0.0026249110454427244,1.092347501224598e-6,1.8196507443567544e-6,11
800,be,0.0091408077794122,5.345501625387225e-6,1.3739554104884967e-5,4
800,ch,0.0014162642678099584,9.154908001357231e-7,1.906041281110912e-6,3
800,de_north,0.06824672730086394,1.5845536870411698e-5,5.5342836652422906e-5,11
800,de_south,0.01184240584040524,2.4574405147137076e-6,6.908020247566358e-6,3
800,fr_north,0.04898052117739137,3.0362336460073325e-6,1.3261072527760686e-5,61
800,fr_south,0.03729619142140192,2.755740462642436e-6,8.004007757172925e-6,50
800,it_north,0.15736699068133367,7.035362601990574e-6,2.0370026448454463e-5,31
800,it_south,0.0542257921002212,9.203291259372311e-6,2.1903766335879913e-5,13
800,nl,6.991833453718087e-4,1.9421759593661337e-6,1.1641079261344753e-6,2
800,uk_north,0.0037711171895927743,2.327850117032584e-6,8.70806775314975e-6,7
800,uk_south,0.0030681121246558776,1.2487228834578225e-6,2.0355731651671823e-6,11
820,be,0.02319708889237493,1.2000563317317616e-5,3.450429891844962e-5,9
820,ch,0.01633290951918056,9.880768009183712e-6,2.759957197497426e-5,3
820,de_north,0.09486524602012597,1.7838519371967906e-5,5.9698753581368324e-5,17
820,de_south,0.018682077918111824,3.4641346037663766e-6,9.490314080061362e-6,18
820,fr_north,0.118402149264773,7.095472479461378e-6,4.052047684940481e-5,64
820,fr_south,0.04662055252264477,3.417427981428435e-6,1.2677783095521518e-5,56
820,it_north,0.19163255848009236,8.341279641337996e-6,2.727130902376264e-5,40
820,it_south,0.06353766977384542,1.0366726998506304e-5,2.412881872948488e-5,12
820,nl,8.713474039800664e-4,2.4204094555001813e-6,1.382075089745301e-6,2
820,uk_north,0.0018131977580354084,1.1192578753305023e-6,3.873610786381025e-6,6
820,uk_south,0.00423642499248581,1.666571594211567e-6,2.6278823954905723e-6,12
840,be,0.027852158770014873,1.3250313401529362e-5,3.104353514117665e-5,8
840,ch,0.033218832366084125,1.854764509552407e-5,7.912923270399069e-5,4
840,de_north,0.05322659727826585,9.374180570318037e-6,2.7662027982201006e-5,12
840,de_south,0.022310682117158347,3.816401320074985e-6,9.90026698875517e-6,18
840,fr_north,0.10046620838699628,5.798580652602904e-6,2.2211060199633908e-5,63
840,fr_south,0.044082696630921826,3.168453721765413e-6,1.1576761296116875e-5,55
840,it_north,0.24787711361267956,1.055874568123533e-5,3.8845330511528856e-5,40
840,it_south,0.05839020989728543,9.357405432257288e-6,2.7215632577360288e-5,11
840,nl,0.0012256475463360192,3.4045765176000642e-6,1.6979863336352662e-6,2
840,uk_north,0.001287676547071517,7.948620660935242e-7,1.1227826643996419e-6,6
840,uk_south,0.005955244930707233,2.2738621346724777e-6,4.0748271320360464e-6,12
860,be,0.016384380393188094,7.233722027897751e-6,2.4369218015068275e-5,8
860,ch,0.0125031979833572,6.211226022532056e-6,1.6024928358093288e-5,5
860,de_north,0.08423673315532781,1.3447754335141794e-5,4.329432081200712e-5,18
860,de_south,0.021639754899730322,3.5469193410473873e-6,1.2030787987907026e-5,18
860,fr_north,0.20363141702711893,1.1452835603324996e-5,4.5283873973411715e-05,74
860,fr_south,0.07084068764054814,4.92976253587665e-6,2.18417841372941e-5,57
860,it_north,0.29502323696754995,1.2469810092038711e-5,4.287031363780086e-5,39
860,it_south,0.043093396906255625,6.730188490747369e-6,2.4142965654055386e-5,11
860,nl,0.0016845207313433976,4.149065840747303e-6,1.837540292709347e-6,2
860,uk_north,0.0013539695864987567,8.255912112797268e-7,1.2448634884806364e-6,6
860,uk_south,0.006363019151880014,2.410234527227287e-6,3.232432836107811e-6,12
880,be,0.005322338082719204,2.147836191573548e-6,6.6780210447473354e-06,5
880,ch,0.014688763127792636,6.806655758940035e-6,3.40374550459408e-5,4
880,de_north,0.07764417833945855,1.1448566549610392e-5,3.678244063479431e-5,12
880,de_south,0.03448277945798653,5.576128631627749e-6,2.1981967107926943e-5,14
880,fr_north,0.128934981775517,7.083561244671811e-6,2.8099919459642212e-5,64
880,fr_south,0.059071465504311055,4.025312811196686e-6,1.4610067838360383e-5,53
880,it_north,0.20852958431529123,8.586764847243034e-6,2.3182593080699158e-5,37
880,it_south,0.052016822117839555,7.832679132335311e-6,2.3761651503089885e-5,10
880,nl,0.0021603761806198935,4.758537842775119e-6,3.707140067764224e-6,2
880,uk_north,0.0018108540551236808,1.0509890047148417e-6,1.950537001113941e-6,6
880,uk_south,0.007085954671728172,2.574838180133786e-6,3.542540338646101e-6,12
900,be,0.003992363514305898,1.469401367061424e-6,3.985837420292237e-6,5
900,ch,0.003273985955255245,1.5157342385441054e-6,7.346955203756185e-6,2
900,de_north,0.056167413870515055,8.04460238764161e-6,3.636450656285814e-5,9
900,de_south,0.049447966994450296,7.897774635753052e-6,3.2736445709482735e-5,16
900,fr_north,0.08352624283909778,4.451883745821185e-6,1.488698484371361e-5,65
900,fr_south,0.0677303458294599,4.501252464242932e-6,2.7176952511071684e-5,53
900,it_north,0.22201432958175607,8.854364265045861e-6,4.770675217825895e-5,38
900,it_south,0.06821102146129226,9.748609612876028e-6,3.209340465192306e-5,11
900,nl,0.0018830623118819686,3.3269652153391666e-6,2.9488835279644824e-6,2
900,uk_north,0.0022662393423459447,1.2710259912203841e-6,3.3116748902718008e-6,6
900,uk_south,0.006826158048968366,2.3710170368073645e-6,3.5653215643327635e-6,12
920,be,0.0059671578025871095,2.0248245003688735e-6,7.778605550847915e-6,7
920,de_north,0.03386745067552884,4.672016923096707e-6,2.0421672668813998e-5,9
920,de_south,0.023719514170501766,3.6666430932912867e-6,2.2260564715101392e-5,9
920,fr_north,0.11435609773738271,5.968481092765244e-6,4.5476351202083525e-5,40
920,fr_south,0.08568632859011072,5.505064477360102e-6,2.3296076893258987e-5,38
920,it_north,0.3372160844565855,1.2881167518109504e-5,8.02715590011902e-5,40
920,it_south,0.06171527538462231,8.483199365583819e-6,2.045342024826407e-5,14
920,nl,0.007168539727876632,9.753115276022641e-6,1.916076124722218e-5,3
920,uk_north,0.0027738065739969756,1.4801529210229322e-6,4.8149398851587145e-6,3
920,uk_south,0.007701610527815181,2.51440108645615e-6,3.844465702650019e-6,7
940,be,0.01594344017637103,5.056593776203943e-6,3.0631053693272856e-5,8
940,de_north,0.046728077693047446,6.040340963423936e-6,2.2664964170837068e-5,12
940,de_south,0.022022069162308904,3.260596559417924e-6,1.249433918037537e-5,12
940,fr_north,0.11979698858130061,6.058001951014023e-6,2.7427161613212084e-5,39
940,fr_south,0.0802657160962255,5.085580440741575e-6,2.486485756205961e-5,36
940,it_north,0.2753485201226589,1.004152000739107e-5,3.706872296508858e-5,42
940,it_south,0.056236439537298635,7.520251342243664e-6,1.774084439343847e-5,13
940,nl,0.030734956288801497,3.283649176154001e-5,7.501535328031956e-5,5
940,uk_north,0.0024240136157098967,1.2342228185895692e-6,4.230259381797179e-6,3
940,uk_south,0.009594839422190079,3.0153486556222695e-6,6.064353003462295e-6,7
960,be,0.043271780968129316,1.2427277704804571e-5,6.406757758607643e-5,9
960,ch,7.810310173416486e-4,3.6158843395446164e-7,2.602080440918759e-6,1
960,de_north,0.08804756325068436,1.0188331780917091e-5,6.307508406050246e-5,20
960,de_south,0.05768582823749227,8.21150579893136e-6,2.4373354253036026e-5,16
960,fr_north,0.15116713351304265,7.401808427411956e-6,3.546823538318134e-5,46
960,fr_south,0.07059804144830714,4.388787855794324e-6,1.8617398117497785e-5,38
960,it_north,0.22935703744994065,8.144781159443935e-6,2.087721176471525e-5,44
960,it_south,0.05944120749410807,7.698641043142984e-6,2.7070717263496884e-5,14
960,nl,0.02516519889541144,2.022925956222787e-5,5.3069928874732925e-5,7
960,uk_north,0.004357007250834399,2.015266998535813e-6,4.811262925267854e-6,3
960,uk_south,0.013223327440711011,3.880084342931643e-6,9.191687997008936e-6,8
980,be,0.027250618605494582,6.962345070386965e-6,1.5205916004575191e-5,10
980,ch,0.006571596918577301,3.0424059808228302e-6,9.090240142468764e-6,1
980,de_north,0.1136906524004033,1.1458441080468381e-5,3.5021474574499153e-5,21
980,de_south,0.06262918221789804,8.385216524018916e-6,4.36737968133367e-5,12
980,fr_north,0.3543344704463554,1.6485273585483006e-5,1.1903370102828955e-4,47
980,fr_south,0.05467491351385974,3.3401498878281575e-6,2.9505037461660516e-5,36
980,it_north,0.2645397494184184,9.171396110748258e-6,3.5021202546645914e-5,42
980,it_south,0.06712866394758946,8.324487096675281e-6,3.1480736059026985e-5,15
980,nl,0.015670370010912604,1.0013015981413837e-5,1.7461762423754292e-5,5
980,uk_north,0.0051978996425553845,2.3246420583879225e-6,4.977175721178116e-6,3
980,uk_south,0.07891261487072242,2.103214682055476e-5,7.456731649987002e-5,11
1000,be,0.055995680000941246,1.1995646958213599e-5,2.4634574888136588e-5,12
1000,ch,0.012324694203297218,5.70587694597092e-6,1.5439365229323014e-5,1
1000,de_north,0.08829764045054644,8.05561905396778e-6,2.426152724217856e-5,13
1000,de_south,0.14162906625031324,1.7710274634277052e-5,6.172325214637266e-5,14
1000,fr_north,0.20444574481996522,9.060704875907227e-6,3.7326204893794024e-5,51
1000,fr_south,0.06348983285483821,3.7318422885345795e-6,1.3424793927083574e-5,35
1000,it_north,0.29531616715683034,9.930933421556772e-6,2.4812403228639117e-5,48
1000,it_south,0.05856407645544148,7.004434452271633e-6,1.4431760527970071e-5,14
1000,nl,0.010591007555846445,6.215380021036634e-6,1.0882214727410611e-5,5
1000,uk_north,0.0047842332617764735,2.0837252882301713e-6,4.175614700507605e-6,3
1000,uk_south,0.04772831660205889,1.1683798433796522e-5,3.639676582923321e-5,10
1020,be,0.06126768833311557,1.163016103513949e-5,2.5085225190447843e-5,18
1020,ch,0.0282871647557014,1.3095909609120838e-5,3.5120231024402234e-5,6
1020,de_north,0.12240860410379673,1.0155019421254156e-5,3.0415782611527137e-5,30
1020,de_south,0.214444907210179,2.4410348003435715e-5,1.293816567084344e-4,28
1020,fr_north,0.365146965852236,1.5078125525549772e-5,5.70640233549647e-5,78
1020,fr_south,0.10736783178555243,6.062211720713449e-6,3.249512398749332e-5,47
1020,it_north,0.3641066775780897,1.1877949943827449e-5,3.8755958516489444e-5,60
1020,it_south,0.06047945109598548,6.854749075822984e-6,1.4197086264952199e-5,18
1020,nl,0.02692490170634207,1.5229016802229634e-5,5.899270937099958e-5,4
1020,uk_north,0.0071295808326168955,2.7559261046064595e-6,5.0128317844066815e-6,6
1020,uk_south,0.03471850138394624,7.953837659552253e-6,2.2326084940170995e-5,7
1040,be,0.09235816817339683,1.5426452008250627e-5,3.664425791792689e-5,19
1040,ch,0.017000884808032066,7.731189089600756e-6,1.8463318093817277e-5,4
1040,de_north,0.22903024603167776,1.6466334461980465e-5,4.570551420691831e-5,39
1040,de_south,0.14653016987008952,1.540638943014304e-5,6.907355009248291e-5,24
1040,fr_north,0.6123278948889799,2.3818573785940444e-5,8.925983749217807e-5,86
1040,fr_south,0.11530591589447152,6.36065290680002e-6,1.9964752609143278e-5,49
1040,it_north,0.3665574542895181,1.1556764433114325e-5,3.0298795384034237e-5,61
1040,it_south,0.07878642764220106,8.649294943704198e-6,2.171844286465427e-5,17
1040,nl,0.0534395494624584,2.5828685095436606e-5,6.823793563122627e-5,7
1040,uk_north,0.005608097804345472,2.1027738299007783e-6,5.56459898135803e-6,5
1040,uk_south,0.03984313506504021,8.586882557120615e-6,2.8708188194330244e-5,6
1060,be,0.10903445652041474,1.6251968478225453e-5,4.236076492681626e-5,24
1060,ch,0.0226210282024211,9.441163690492852e-6,2.251522042219621e-5,6
1060,de_north,0.1764319794311114,1.1992385768835555e-5,3.4943021985482744e-5,39
1060,de_south,0.3425723593838688,3.406646374143475e-5,1.1336307172505567e-4,30
1060,fr_north,0.45644990001206076,1.709742293186734e-5,4.953173672132237e-5,86
1060,fr_south,0.1298887174228486,7.102401433883037e-6,2.3656840026517576e-5,52
1060,it_north,0.33993125420364073,1.0674891791347018e-5,3.033420429696714e-5,62
1060,it_south,0.13408326526219402,1.4106603394234192e-5,4.065744625026966e-5,22
1060,nl,0.055559060456450975,2.287322373670263e-5,4.610391508982316e-5,8
1060,uk_north,0.004649558726026197,1.7195113631753433e-6,5.639603343766242e-6,5
1060,uk_south,0.06174639085814939,1.289068702675379e-5,5.3867410906376414e-5,9
1080,be,0.1274508213715866,1.8024440867145632e-5,5.3482740511425264e-5,18
1080,ch,0.016429775814744543,6.223399929827484e-6,2.903200527981873e-5,5
1080,de_north,0.18325414838152485,1.2076851745190707e-5,3.679386791795384e-5,33
1080,de_south,0.1807167718837457,1.7771341516741712e-5,5.9516427957443596e-5,27
1080,fr_north,0.4388873787221501,1.531946590534214e-5,3.9183583111885465e-5,82
1080,fr_south,0.17299154376866474,9.191410858544602e-6,2.4955752289579085e-5,55
1080,it_north,0.5506294693042352,1.717014778459662e-5,6.497539167300182e-5,59
1080,it_south,0.2885743804383239,2.7446678755785787e-5,1.1834197332294175e-4,32
1080,nl,0.030962280368990614,1.2345406845689877e-5,2.7895580382242936e-5,5
1080,uk_north,0.05349544026190596,1.8803318193991757e-5,1.4165388431667454e-4,6
1080,uk_south,0.10764855879330804,2.060653881954586e-5,7.143207828106406e-5,9
1100,be,0.05827056347123949,7.982268968662754e-6,2.1540716897852057e-5,14
1100,ch,0.030320918184170324,1.0883315931144987e-5,6.489994357720444e-5,5
1100,de_north,0.15859105370473892,9.718780102018784e-6,2.519889062246129e-5,29
1100,de_south,0.12276730941522081,1.1561098918469107e-5,2.9396859503834954e-5,25
1100,fr_north,0.4492648556840091,1.4655038350861398e-5,5.917193935781984e-5,86
1100,fr_south,0.2249698389814711,1.1558846990776052e-5,2.6790276460746486e-5,66
1100,it_north,0.5111639902420074,1.5687094989780748e-5,5.3290213719290894e-5,56
1100,it_south,0.5775061198544951,4.62634078230006e-5,1.1235437761431448e-4,56
1100,nl,0.01771756486195375,6.576675895305794e-6,1.5249976253127748e-5,4
1100,uk_north,0.0747353927625317,2.3785930223593277e-5,6.393747245050907e-5,10
