decade,im3y20,mean,sd,V1
700,0.139223967,3.44E-06,9.75E-06,29
720,0.167876116,3.28E-06,1.17E-05,173
740,0.256474293,4.24E-06,2.19E-05,182
760,0.270272004,4.04E-06,1.38E-05,197
780,0.319624972,4.50E-06,1.58E-05,190
800,0.396054113,5.30E-06,2.02E-05,196
820,0.580191223,7.41E-06,3.08E-05,239
840,0.595893068,7.36E-06,2.93E-05,231
860,0.756754314,9.06E-06,3.57E-05,250
880,0.591748098,6.85E-06,2.40E-05,219
900,0.56533913,6.34E-06,3.29E-05,219
920,0.680691701,7.34E-06,4.96E-05,170
940,0.659339875,6.84E-06,2.87E-05,177
960,0.743095157,7.39E-06,3.26E-05,206
980,1.050600732,9.93E-06,6.25E-05,203
1000,0.98316646,8.81E-06,3.02E-05,206
1020,1.392282275,1.18E-05,5.20E-05,302
1040,1.756787944,1.40E-05,5.26E-05,317
1060,1.83296797,1.41E-05,4.85E-05,343
1080,2.151040569,1.59E-05,6.11E-05,331
1100,2.486543076,1.72E-05,5.77E-05,370
1120,2.466505188,1.64E-05,5.65E-05,443
1140,2.955062247,1.89E-05,7.17E-05,474
1160,2.954858095,1.85E-05,5.13E-05,526
1180,2.805317621,1.71E-05,5.34E-05,470
1200,2.68834638,1.61E-05,5.13E-05,473
1220,2.900569159,1.71E-05,4.68E-05,444
1240,3.725733456,2.12E-05,5.85E-05,525
1260,3.911127364,2.21E-05,5.77E-05,572
1280,3.644552903,2.09E-05,5.83E-05,513
1300,3.501416564,2.05E-05,6.37E-05,528
1320,3.713775741,2.24E-05,7.70E-05,471
1340,3.144931318,2.02E-05,5.80E-05,462
1360,2.453348597,1.68E-05,4.43E-05,450
1380,2.089830322,1.51E-05,5.37E-05,400
1400,2.377087061,1.79E-05,6.21E-05,413
1420,2.414034016,1.91E-05,4.54E-05,412
1440,2.722937644,2.31E-05,4.74E-05,435
1460,2.909714082,2.73E-05,5.03E-05,500
1480,3.002294191,3.26E-05,6.06E-05,476
1500,2.675094797,3.64E-05,7.33E-05,472